Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-01-11,20.0,,20.0,c66b00e0d3cc9abb55dd0c4b1a20a53d1465f9110bff10077694ba9f1067eb4e,447675,2,3
2017-10-30,,20.0,0.0,2656baa9a51070e1024cf7a4919e7e0c7830adc49de81dc5a29d224fa23c64d1,492367,1,1
